ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Dialect,Media_IDs,Sense_IDs
XV001621,tzh,yakal ta lok'el sbuk'ul ak'u',,,se está deshaciendo la trama de tu camisa,,,Petalcingo,,SN000992
XV001622,tzh,ya xba jbul werux ta jk'al,,,iré a arrancar cebollín en mi milpa,,,Guaquitepec,,SN000994
XV001623,tzh,la kbul jpeht kahpe,,,arranqué una planta de café,,,Petalcingo,,SN000994
XV001624,tzh,la jbultilaytikix lok'el te bol wamal,,,ya arrancamos las malas hierbas,,,Oxchuc,,SN000994
XV001625,tzh,yakalon sbulel swamalel jk'al,,,estoy arrancando el monte de mi milpa,,,Tenejapa,,SN000994
XV001626,tzh,la sbul yisim te jtatike,,,el señor se arrancó los bigotes,,,Tenejapa,,SN000994
XV001627,tzh,la sbul lok'el ta stsotsil sjol,,,lo sacó jalándolo del cabello,,,Petalcingo,,SN000995
XV001628,tzh,bulk'ij ta ik' te te'e,,,el árbol fue arrancado por el viento,,,Bachajón,,SN000998
XV001629,tzh,ma xabulk'in nichimi,,,no arranques la flor,,,Guaquitepec,,SN000999
XV001630,tzh,bulk'inot ta ik' te te'e,,,el árbol fue arrancado por el viento,,,Bachajón,,SN000999
XV001631,tzh,bumul xch'ujt te antse,,,la mujer tiene la panza resaltada,,,Cancuc,,SN001001
XV001632,tzh,bumajtik nax xch'ujt' te oxometike,,,las ollas tienen la panza resaltada,,,Oxchuc,,SN001001
XV001633,tzh,in smama bumil stsa' te winike,,,el hombre así tiene de resaltada la panza,,,Cancuc,,SN001001
XV001634,tzh,"te alale ma to sna' yuch'el te mats'e, ya nax xburbuxta",,,"el bebé todavía no sabe tomar pozol, sólo hace burbujas en él",,,Tenejapa,,SN001002
XV001635,tzh,¿banti ayik te burinetike?,,,¿dónde están los panzoncitos?,,,Tenejapa,,SN001003
XV001636,tzh,"name k'inale, ta yox'ok'elal buro ya stijonix jajchel a te jtate",,,"hace años, a la tercera rebuznada del burro mi papá ya me hacía levantar",,,Tenejapa,,SN001004 ; SN002190
XV001637,tzh,baxe ba ay banti burul ya'tik i,,,quien sabe dónde anda con su panzota ahora,,,Tenejapa,,SN001005
XV001638,tzh,in sburil xch'ujt te antse,,,la mujer así está de panzona,,,Tenejapa,,SN001005
XV001639,tzh,la jman burum kawu,,,compré un caballo pinto,,,Guaquitepec,,SN001006
XV001640,tzh,t'ujbil sburumil te ts'i'e,,,lo pinto del perro es bonito,,,Guaquitepec,,SN001006
XV001641,tzh,burumtik te mise,,,el gato es muy pinto,,,Guaquitepec,,SN001007
XV001642,tzh,la yehanik jbus ton,,,acarrearon un montón de piedras,,,Bachajón,,SN001008
XV001643,tzh,cha'bus ay yu'un te chenek'e,,,tiene el frijol en dos montones,,,Petalcingo,,SN001008
XV001644,tzh,lom muk' te sbus te ijk'al wakaxe,,,está muy grande la joroba del toro negro,,,Oxchuc,,SN001009
XV001645,tzh,jukul ta sbus baj,,,está sentado en el nido de la tuza,,,Guaquitepec,,SN001010
XV001646,tzh,te sbusik tan ta yolil te'e,,,allí amontonan la cal en medio de los troncos,,,Villa Las Rosas,,SN001011
XV001647,tzh,busajix ku'un te tonetike,,,ya pude amontonar las piedras,,,Petalcingo,,SN001012
XV001648,tzh,busaj jilel ta be te ji'e,,,la arena se dejó amontonada en el camino,,,Oxchuc,,SN001012
XV001649,tzh,ya xbusaj ta amak' te sjalalil korale,,,se amontonan en el patio los carrizos para el corral,,,Bachajón,,SN001012
XV001650,tzh,yakalon sbusanel chenek',,,estoy amontonando frijol,,,Tenejapa,,SN001013
XV001651,tzh,"wen lek xabusan te chenek'e, yu'un ma' xpukot ta mut a",,,"amontona bien los frijoles, para que no los rieguen los pollos",,,Bachajón,,SN001013 ; SN006528
XV001652,tzh,tey xabusan ta lum me pak'e,,,amontona la ropa ahí en el suelo,,,Petalcingo,,SN001013
XV001653,tzh,ja' i ji'i busana ta patnaj,,,la arena amontónala detrás de la casa,,,Guaquitepec,,SN001013
XV001654,tzh,busana jilel ta mexa te ixime,,,amontona los granos de maíz sobre la mesa,,,Oxchuc,,SN001013
XV001655,tzh,busk'ij kohel ta lum te yixime,,,su maíz se regó en el suelo,,,Petalcingo,,SN001014
XV001656,tzh,k'ax bayel busk'ijem ats'am ta mesa,,,hay mucha sal regada sobre la mesa,,,Bachajón,,SN001014
XV001657,tzh,"ma me atij chenek'e, ya me sbusk'ij kojel",,,"no muevas el frijol, se puede regar",,,Villa Las Rosas,,SN001014
XV001658,tzh,la sbusk'in chenek' te mute,,,el pollo esparció el frijol,,,Guaquitepec,,SN001015
XV001659,tzh,"busk'ina ta yut nah te ixime, ya yich' tsahel te banti ay leke",,,"esparce el maíz dentro de la casa, se va a escoger los buenos",,,Bachajón,,SN001015
XV001660,tzh,li' sbustajib te chenek'e,,,aquí es donde se amontona el frijol,,,Petalcingo,,SN001016
XV001661,tzh,ja' sbustajib k'a'pal me in ta ba aye,,,allá es donde se amontona la basura,,,Tenejapa,,SN001016
XV001662,tzh,te talix jbusuch'uht kereme,,,ahí viene el muchacho panzón,,,Petalcingo,,SN001017
XV001663,tzh,busul ta lum me sit alaxaxe,,,las naranjas están tiradas apiñadas en el suelo,,,Petalcingo,,SN001018
XV001664,tzh,busajtik ta wabal sk'u' spak' me ach'ixe,,,la muchacha tiene sus ropas amontonadas sobre la cama,,,Petalcingo,,SN001018
XV001665,tzh,busul swinkilel lum ta kancha,,,los habitantes de la comunidad están congregados en la cancha,,,Tenejapa,,SN001018
XV001666,tzh,in sbusil a jil xchenek' ta be,,,así de amontonado quedó su frijol en el camino,,,Tenejapa,,SN001018
XV001667,tzh,busul xch'uht te alale,,,el niño tiene la panza resaltada,,,Petalcingo,,SN001019
XV001668,tzh,in sbusil xch'uht me winike,,,el hombre tiene la panza así de resaltada,,,Petalcingo,,SN001019
XV001669,tzh,la jbut' ta chenek' te chojak',,,rellené la red con frijol,,,Guaquitepec,,SN001020
XV001670,tzh,but'bil ta lum te koxtaletik,,,los costales están rellenados de tierra,,,Guaquitepec,,SN001020
XV001671,tzh,yakal kbut'bel knah,,,estoy rellenando mi casa (antes de poner el piso),,,Petalcingo,,SN001020
XV001672,tzh,pajel a kpastik but'bil ch'ich',,,mañana prepararemos morcilla,,,Petalcingo,,SN001021
XV001673,tzh,ma' jna' but'il ay,,,no sé cómo está,,,Bachajón,,SN001022
XV001674,tzh,ma xabut-itayon,,,no me des nalgazos,,,Bachajón,,SN001023
XV001675,tzh,butk'ijon ta huktajibal,,,me caí de nalgas de la silla,,,Bachajón,,SN001024
XV001676,tzh,butk'ej te nae,,,se cayó la casa,,,SP,,SN001024
XV001677,tzh,butk'ij koel ta wayibal te alale,,,el bebé se cayó de la cama,,,Yajalón,,SN001024
XV001678,tzh,jich jtebtik jtebtik ya xbutk'ej k'al ch'in wits jiche,,,así de poco en poco se va derrumbando el cerrito,,,Aguacatenango,,SN001024
XV001679,tzh,ma me xabutk'in kohel te kapele,,,no vayas a tirar la olla del café,,,Bachajón,,SN001025
XV001680,tzh,la sbutk'in koel te ijkatsile,,,volcó la carga,,,Guaquitepec,,SN001025
XV001681,tzh,la sbutk'inik jun mamal te',,,tumbaron un árbol grande,,,Tenejapa,,SN001025
XV001682,tzh,la sbutson ta jol,,,me jaló del cabello,,,Bachajón,,SN001026
XV001683,tzh,ma' abutsbon jol,,,no me jales el cabello,,,Ametenango,,SN001026
XV001684,tzh,la sbutstiklan sjol yu'un slab yo'tan,,,se arrancó los cabellos por su coraje,,,Bachajón,,SN001026
XV001685,tzh,la ka'beytik ala jp'ijuk chikle sbuts',,,les dimos un chiclecito para que chupen,,,Cancuc,,SN001027
XV001686,tzh,ya sbuts' sk'ab te alale,,,el niño se chupa la mano,,,Cancuc,,SN001027
XV001687,tzh,"ch'abanix ke, buts'an kat",,,"ya cállate güey, vete a la chingada (""chúpame la verga"")",,,Petalcingo,,SN001027
XV001688,tzh,buts'on kala ututa,,,bésame mi amorcito,,,Tenejapa,,SN001028 ; SN004312
XV001689,tzh,butsul sjol te antse,,,la mujer tiene su mechón,,,Bachajón,,SN001029
XV001690,tzh,"butsul jilel te ajole, ma ba lek la apech'",,,"quedó un mechón de tu cabello, no lo trenzaste bien",,,Tenejapa,,SN001029
XV001691,tzh,ala butsul sneh te ts'i'e,,,el perro tiene la cola cortita,,,Petalcingo,,SN001029
XV001692,tzh,butsul sim te tuluk'e,,,el guajolote tiene el moco corto,,,Cancuc,,SN001029
XV001693,tzh,in yala butsil pasbil sjol alale,,,a la niña la peinaron con un chonguito,,,Petalcingo,,SN001029
XV001694,tzh,butul a hil yit te jyakubele,,,el borracho quedó (tirado) con el trasero resaltado hacia arriba,,,Petalcingo,,SN001030
XV001695,tzh,in sbutil yit winiki,,,así de resaltado está el trasero del señor,,,Guaquitepec,,SN001030
XV001696,tzh,but'ul ta ixim te chojak'e,,,la red está rellenada de maíz,,,Oxchuc,,SN001031
XV001697,tzh,but'ul ta ich te limetae,,,la botella está rellenada de chile,,,Petalcingo,,SN001031
XV001698,tzh,spisil but'ajtikix ta ja' te p'inetike,,,todos los cántaros ya están llenos de agua,,,Oxchuc,,SN001031
XV001699,tzh,but'ulix ta koxtal te kaxlan chenek',,,los cacahuates ya est��n empaquetados en el costal,,,Tenejapa,,SN001032
XV001700,tzh,but'ul ta ch'en te k'a'pale,,,la basura está rellenando la zanja,,,Ametenango,,SN001032
XV001701,tzh,in sbut'il nax la yich' tal chenek' ta smoral,,,así nomás de poquito trajo de frijol en su morral,,,Guaquitepec,,SN001032
XV001702,tzh,but'ulon ta ik',,,tengo aerofagia,,,Petalcingo,,SN001033
XV001703,tzh,ya jbuytik te nae,,,desmenuzamos el hilo,,,Oxchuc,,SN001034
XV001704,tzh,ya sk'an buyel me tojp'ol lume,,,hay que desmoronar ese terrón,,,Tenejapa,,SN001034
XV001705,tzh,ya jbuybe xchayul kach'ix,,,voy a quitarle la mugre a mi hija,,,Ametenango,,SN001035 ; SN001312
XV001706,tzh,najk'a buyumix te kixime,,,mi maíz ya está todo aguado por enfermedades,,,Oxchuc,,SN001036
XV001707,tzh,juch'a tel ta cha' te panil,,,muele el nixtamal en el metate,,,Cancuc,,SN001037
XV001708,tzh,woje la sman xcha' te kme'e,,,mi madre ayer compró su metate,,,Petalcingo,,SN001037
XV001709,tzh,a'bon te xcha' mute,,,dame la molleja del pollo,,,Guaquitepec,,SN001038
XV001710,tzh,¿ay bal mach'a ya sk'an stumbe te xcha' mute?,,,¿alguien quiere comer la molleja del pollo?,,,Tenejapa,,SN001038
XV001711,tzh,la jcha'chon te jkajpee,,,revendí mi café,,,Tenejapa,,SN001040
XV001712,tzh,ya to jcha'nop teme ya xju' ku'une,,,voy a volver pensar si puedo,,,Tenejapa,,SN001040
XV001713,tzh,ya xcha'lok'ex bahel ta ora nax,,,ustedes van a volver a salir enseguida,,,Petalcingo,,SN001040
XV001714,tzh,–¡bohkon nantik! –¡ban ch'a!,,,–¡adiós señora! –¡adiós pues!,,,Bachajón,,SN001041
XV001715,tzh,–¡ba me ayat yame'! –¡la' me ch'a mam!,,,–¡buenos días señora! –¡buenos días señor!,,,Oxchuc,,SN001041
XV001716,tzh,xcha'alix me ine,,,ese ya es su hijastro,,,Bachajón,,SN001042
XV001717,tzh,ma xch'uhumbon jk'op te kcha'ale,,,mi hijastro no me obedece,,,Petalcingo,,SN001042
XV001718,tzh,stalel ora ch'a'al sjol a xpaxyaj me in antse,,,ese mujer siempre sale a pasear despeinada,,,Petalcingo,,SN001043
XV001719,tzh,in xch'a'il sjol a xhahch ta wayel te jPale,,,Francisco así de greñudo se despierta,,,Petalcingo,,SN001043 ; SN002187
XV001720,tzh,ch'a'ch'a'tik sjol yu'un te wayele,,,está muy despeinado por haber dormido,,,Bachajón,,SN001044
XV001721,tzh,k'ux jcha'am,,,me duele la muela,,,Guaquitepec,,SN001047
XV001722,tzh,ya jchi'ubtes ta chab jkapel,,,voy a endulzar mi café con miel,,,Bachajón,,SN001048
XV001723,tzh,kaj jch'ijtes chab,,,empecé a criar abejas,,,Cancuc,,SN001048 ; SN001519
XV001724,tzh,ya yich' lok'esbeyel xchabul,,,se le saca la miel,,,Guaquitepec,,SN001048
XV001725,tzh,ma xyak' xchabul stukel me kampana xuxe,,,la avispa campana no produce miel,,,Petalcingo,,SN001048
XV001726,tzh,¿ay wanix xchabil te xuxe?,,,¿ya tendrá miel la abeja?,,,Tenejapa,,SN001048
XV001727,tzh,ma sk'an ya xch'ab,,,no se quiere callar,,,Petalcingo,,SN001049
XV001728,tzh,ch'abix te k'ope,,,ya se calmó el problema,,,Tenejapa,,SN001049
XV001729,tzh,ch'ab ta ok'el te alale,,,el bebé dejó de llorar,,,Guaquitepec,,SN001049
XV001730,tzh,"ch'abikix bel te jpas k'opetike, ma mach'a chikanix",,,"ya se callaron los peleoneros, ya no se oye a nadie",,,Tenejapa,,SN001049
XV001731,tzh,ma xch'ab xk'uxul kakan,,,no se calma el dolor de mi pie,,,Oxchuc,,SN001049
XV001732,tzh,ya ya'yik ch'ab te mamaletike,,,los ancianos realizan el rezo,,,Guaquitepec,,SN001050
XV001733,tzh,ma sna'ikix ch'ab,,,ya no saben rezar,,,Petalcingo,,SN001050
XV001734,tzh,ay xch'abilel te kuruse,,,se le hace su rezo a la cruz,,,Tenejapa,,SN001050
XV001735,tzh,ya xch'abajon ta jujun k'in,,,rezo en cada fiesta,,,Petalcingo,,SN001051
XV001736,tzh,ja'uk nax spok sk'ab ts'i mach'a xch'abaji,,,mejor que sólo se lave las manos el que va a rezar,,,Tenejapa,,SN001051
XV001737,tzh,ay me ach'abajel yo'tik,,,vas a tener que dar tu pequeña colación para obtener el perdón,,,Guaquitepec,,SN001052
XV001738,tzh,"ay me jun litra, ay cheb litra ya sk'an away te ch'abajelile",,,"a veces pedían de un litro, de dos litros (de aguardiente) la colación de multa",,,Cancuc,,SN001052
XV001739,tzh,"ya awak' ach'abajel, ol k'aalix a julat ta tsoblej",,,"vas a dar tu multa, llegaste tarde a la reunión",,,Ametenango,,SN001053
XV001740,tzh,ya sna' ch'abajom te jmame,,,mi abuelo sabe rezar,,,Cancuc,,SN001054
XV001741,tzh,ch'abalix te alale,,,el niño ya está callado,,,Bachajón,,SN001055
XV001742,tzh,"mayuk bi chikan le' ta yolil ja'male, ch'abal",,,"no se oye nada en medio de la montaña, está silencioso",,,Oxchuc,,SN001055 ; SN004543
XV001743,tzh,"ayix ta yutil nah me jyakubele, axan wen ch'abal ayi",,,"el borracho ya está dentro de la casa, pero está bien calmado",,,Petalcingo,,SN001055
XV001744,tzh,ch'abajtik me kristyanohetike,,,la gente está callada,,,Petalcingo,,SN001055
XV001745,tzh,ch'abaltik yutil snah me in kermanotike,,,está muy silenciosa la casa de ese vecino,,,Petalcingo,,SN001056
XV001746,tzh,ha' xcha'bankil te jxute,,,es el hermanastro mayor de mi hijito,,,Bachajón,,SN001057
XV001747,tzh,kome kcha'bankil ha' wan yu'un chopol a x'ilot,,,como es mi hermanastro mayor quizás por eso no lo quieren,,,Petalcingo,,SN001057
XV001748,tzh,"ha' cha'bankilal te jMane, pero mero k'ux sbah ta yo'tanik",,,"Manuel es el hermanastro mayor, pero se quieren mucho",,,Bachajón,,SN001057
XV001749,tzh,ya yich' ak'el chabek' ta sjol te unin alale,,,se le pone cera en la cabeza del bebé,,,Tenejapa,,SN001059 ; SN003094
XV001750,tzh,xchabek'ul chab,,,cera de abeja,,,Cancuc,,SN001059
XV001751,tzh,chabek' xix sk'u' te alale,,,ya está sucia la camisa del bebé,,,Tenejapa,,SN001060
XV001752,tzh,chabek'tikix sni' te alale,,,el niño tiene la nariz toda sucia y pegajosa,,,Cancuc,,SN001061
XV001753,tzh,ba jlej tal ch'aben ta jk'al,,,fui a buscar chipilín en mi milpa,,,Villa Las Rosas,,SN001062
XV001754,tzh,ay sniwak xch'abenul ba'inale,,,el terreno tiene chipilín grande,,,Villa Las Rosas,,SN001062
XV001755,tzh,xchabet jk'ab yu'un xuch'il te',,,mis manos están pegajosas por la resina del árbol,,,Bachajón,,SN001063
XV001756,tzh,la xch'abtayon te jtatik poxile,,,me rezó el señor curandero,,,Tenejapa,,SN001064
XV001757,tzh,la xch'abtayik me slok'ib ha'e,,,le rezaron al ojo de agua,,,Petalcingo,,SN001064
XV001758,tzh,la xch'abteson jo'tik te j'a'tejpatane,,,nos calló la autoridad,,,Guaquitepec,,SN001065
XV001759,tzh,ya xch'abtes alal te ch'in ach'ixe,,,la niña está haciendo callar al bebé,,,Tenejapa,,SN001065
XV001760,tzh,la skil k'axel xchacha' mut me ts'i'e,,,el perro se llevó la molleja del pollo,,,Petalcingo,,SN001066
XV001761,tzh,ban lea tel jlo'tik chachib,,,ve a buscar cuajilote para comer,,,Cancuc,,SN001068
XV001762,tzh,¿banti xbahat ch'a'etel ajol?,,,¿adónde vas así todo greñudo?,,,Bachajón,,SN001069
XV001763,tzh,k'ax ch'ah te poxe,,,la medicina está amarga,,,Petalcingo,,SN001070
XV001764,tzh,ch'aj te ya'lel pajch'e,,,está amarga el agua de piña,,,Guaquitepec,,SN001070
XV001765,tzh,laj kabe yuch' ch'aal kajpe,,,le di de beber café amargo,,,Tenejapa,,SN001070
XV001766,tzh,ch'ahch'atik ta we'el me in itaje,,,esa verdura es medio amarga al comerla,,,Petalcingo,,SN001071
XV001767,tzh,ay xchamel ta xch'ah,,,está enfermo de la vesícula biliar,,,Petalcingo,,SN001072
XV001768,tzh,t'om te xch'aj mute,,,se reventó la hiel del pollo,,,Guaquitepec,,SN001072 ; SN007535
XV001769,tzh,lok'esbot xch'a te antse,,,a la mujer le sacaron la vesícula,,,Oxchuc,,SN001072 ; SN004774
XV001770,tzh,nok'ol ta ch'ah te te'e,,,ál árbol se le están cayendo las hojas,,,Bachajón,,SN001073
XV001771,tzh,ch'ahbajix te te'e,,,ya se le cayeron las hojas al árbol,,,Bachajón,,SN001074
XV001772,tzh,mero ch'ahbal ach'ix to te yihnam la yik'e,,,la que tomó por esposa todavía es una mujer adolescente,,,Petalcingo,,SN001075
XV001773,tzh,ta xch'ahbal keremil to la yik' yihnam,,,tomó esposa cuando era un varón adolescente,,,Petalcingo,,SN001075
XV001774,tzh,kuchbil talel ta chahchamte' te winike,,,al hombre lo trajeron cargando en camilla,,,Petalcingo,,SN001077
XV001775,tzh,ta ala chahchamte' a xway me aleletike,,,los niños duermen en una cama rústica,,,Petalcingo,,SN001077
XV001776,tzh,xchahet ha' i ch'ahkili,,,el falso girasol sabe amargo,,,Petalcingo,,SN001078
XV001777,tzh,xch'ajajet a bajt te ya'lel nalaxe,,,el jugo de naranja se puso amargo,,,Guaquitepec,,SN001078
XV001778,tzh,ya xlok' ch'ahil ta jol nah,,,el humo sale por el techo de la casa,,,Petalcingo,,SN001079
XV001779,tzh,ya yak' bayel ch'ail te yaxal taje,,,el ocote verde da mucho humo,,,Guaquitepec,,SN001079
XV001780,tzh,li' a xlok' xch'ahileli,,,por aquí se le sale el humo,,,Bachajón,,SN001079 ; SN004648
XV001781,tzh,ch'ahilub te sjol nahe,,,el techo de la casa se ahumó,,,Petalcingo,,SN001080
XV001782,tzh,ch'ailub te ti'bale,,,la carne se ahumó,,,Guaquitepec,,SN001080
XV001783,tzh,yakal ta ch'ailubel te pak'e,,,la ropa se está ahumando,,,Oxchuc,,SN001080
XV001784,tzh,ya sk'an ch'ahilubtesel te ti'bale,,,se debe ahumar la carne,,,Petalcingo,,SN001081
XV001785,tzh,ya jch'ailubtes te bake,,,voy a ahumar el hueso,,,Guaquitepec,,SN001081
XV001786,tzh,"ma'ix lek in karoe, xchahk'chunix",,,"ese carro ya no sirve, ya hace mucho ruido",,,Petalcingo,,SN001083 ; SN002498
XV001787,tzh,ya spotsbon ta ch'ajkil te kakane,,,me envuelve los pies con falso girasol (como cataplasma),,,Cancuc,,SN001084 ; SN006464
XV001788,tzh,xchahk'lajan ta beh te karetae,,,la carreta hace mucho ruido en el camino,,,Bachajón,,SN001085
XV001789,tzh,maba ya xch'ahl stukel te yan nahe,,,la otra casa no va a ser adornada,,,Petalcingo,,SN001087
XV001790,tzh,chahlajix te spahk'ul nahe,,,a la pared de la casa ya se le cayó todo el lodo,,,Bachajón,,SN001089
XV001791,tzh,ma xachahlan me nahe,,,no le tires el lodo de la pared de la casa,,,Bachajón,,SN001091
XV001792,tzh,t'ujbil xch'ahlel,,,su adorno es bonito,,,Petalcingo,,SN001092
XV001793,tzh,la jmambey xch'alib te jnaje,,,compré adornos para mi casa,,,Guaquitepec,,SN001093 ; SN005089
XV001794,tzh,jch'ahm nax noj te jbalte,,,en una juntada se llenó mi cubeta,,,Bachajón,,SN001095
XV001795,tzh,cha'ch'ahm ay ha' ta balte,,,he juntado dos cubetas de agua,,,Bachajón,,SN001095
XV001796,tzh,ma xch'ahm ta ora teme ta puru wits' balte kach'ame,,,no se llena luego si lo juntas con puras cubetas pequeñas,,,Petalcingo,,SN001096
XV001797,tzh,ora a ch'am te itaje,,,rápido se vendió la verdura,,,Guaquitepec,,SN001097
XV001798,tzh,ma xch'am ta ore,,,no se vende rápido,,,Aguacatenango,,SN001097
XV001799,tzh,ma'yuk xch'ahmil te ha'e,,,no hay con qué juntar el agua,,,Petalcingo,,SN001098
XV001800,tzh,jil xch'amil ka'al ta beja',,,se quedó el recipiente con el que junto agua en el arroyo,,,Guaquitepec,,SN001098
XV001801,tzh,la ktul tal jchahp itaj,,,corté una clase de verduras,,,Petalcingo,,SN001099
XV001802,tzh,ay cha'oxchahp ta pasel,,,hay dos o tres formas de hacerlo,,,Petalcingo,,SN001099
XV001803,tzh,oxchahp skoloril me k'ubule,,,la oropéndola tiene tres tipos de colores,,,Petalcingo,,SN001099
XV001804,tzh,cholana ta jujuchajp,,,ordénalos por clases,,,Guaquitepec,,SN001099 ; SN003257
XV001805,tzh,ay cha'chahp jtep,,,tengo dos pares de zapatos,,,Bachajón,,SN001100
XV001806,tzh,ayotkotik ho'chahp ta nahinel tey a,,,somos cinco familias viviendo allá,,,Bachajón,,SN001101 ; SN007376
XV001807,tzh,jchahp nax ya xchahpan sba,,,se viste raro,,,Bachajón,,SN001102
XV001808,tzh,k'axel chajpat yilel a mene,,,de plano allí se ve que eres malo,,,Tenejapa,,SN001102
XV001809,tzh,jPale jchahp xanix ta ilel a teme yuch'oj,,,Francisco se ve extraño cuando está borracho,,,Petalcingo,,SN001102
XV001810,tzh,ma xchahp yu'un ta ora me sone,,,no se afina luego la guitarra,,,Petalcingo,,SN001103
XV001811,tzh,wokol a chajp te k'ope,,,costó para que se arreglara el problema,,,Guaquitepec,,SN001103
XV001812,tzh,chahpajix te we'elile,,,ya se preparó la comida,,,Bachajón,,SN001104
XV001813,tzh,maba xchahpaj me swokolile,,,su problema no se arregla,,,Petalcingo,,SN001104
XV001814,tzh,"ma'yuk bi a chahpaj hilel a, yu'un lok' ta ahnel",,,"no se llegó a ningún acuerdo, porque se escapó",,,Petalcingo,,SN001104 ; SN008638
XV001815,tzh,chajpajix te k'ope,,,ya se solucionó el problema,,,Guaquitepec,,SN001104
XV001816,tzh,ja' to ta tibilitik ya xchajpajat abi,,,hasta en la tarde se te va a atender (el problema que quieres arreglar con las autoridades),,,Chilón,,SN001104
XV001817,tzh,ch'ahpaj stsotsil sjol ta ik',,,se le alborotó el pelo por el viento,,,Petalcingo,,SN001105
XV001818,tzh,ch'ajpaj jol,,,me despeiné,,,Guaquitepec,,SN001105
XV001819,tzh,spisil ay xchahpajib teme ya jk'antike,,,todo tiene solución si queremos,,,Bachajón,,SN001106
XV001820,tzh,ma'yuk xchahpajibal ku'un,,,no tengo instrumento para prepararlo,,,Petalcingo,,SN001107
XV001821,tzh,ja' xchajpajib a'tejpatan ini,,,éste es el lugar donde las autoridades arreglan problemas,,,Guaquitepec,,SN001108
XV001822,tzh,ya xban ta xchajpajib k'op,,,voy al juzgado,,,Tenejapa,,SN001108
XV001823,tzh,ya xbohotik ta chahpajibal,,,vamos al juzgado,,,Bachajón,,SN001108
XV001824,tzh,patilix me cha'tal xchahpan me k'ope,,,ya fue después cuando vino de nuevo a resolver el problema,,,Petalcingo,,SN001109
XV001825,tzh,"ya jchahpan jbahtik, ya xbohotik ta il k'in",,,"vamos a alistarnos, vamos a ir a la fiesta",,,Bachajón,,SN001109
XV001826,tzh,hul kchahpan kbah,,,llegué a alistarme,,,Petalcingo,,SN001109
XV001827,tzh,ya yich' chahpanel ta lek te jnuhpunele,,,se va a arreglar muy bien a la novia,,,Bachajón,,SN001109
XV001828,tzh,ya jchajpan jnaj,,,voy a arreglar mi casa,,,Guaquitepec,,SN001109
XV001829,tzh,ha' ya xchahpanwan te bankilale,,,el hermano mayor es quien va a arreglar el problema,,,Bachajón,,SN001109
XV001830,tzh,"wen ya sna' chahpanwanej te winike, lamal yo'tan ya spas",,,"el hombre sabe arreglar problemas, lo hace con mucha paciencia",,,Bachajón,,SN001109
XV001831,tzh,ma xchajpanwan ta k'ajk'al te ajentee,,,el agente no ejerce la justicia durante el día,,,Guaquitepec,,SN001110
XV001832,tzh,"ay jchahpanwanej yu'un te k'ope, j'a'tejpatan",,,"hay personas para resolver el problema, son las autoridades",,,Bachajón,,SN001111
XV001833,tzh,la xch'ahpambon stsotsil kjol te ik'e,,,el aire me despeinó,,,Petalcingo,,SN001112
XV001834,tzh,la xch'ajtayon sok pom te mamale,,,el anciano me ahumó con incienso,,,Guaquitepec,,SN001114
XV001835,tzh,ja' antsetike ya xch'ajtayik sbakel wakax,,,las mujeres sancochan el hueso de la vaca,,,Villa Las Rosas,,SN001114
XV001836,tzh,la kts'un sbak' ch'ahte',,,sembré una semilla de huele de noche,,,Petalcingo,,SN001115
XV001837,tzh,ch'ajub te ts'inte'e,,,la yuca se puso amarga,,,Guaquitepec,,SN001116
XV001838,tzh,yakix ta ch'ajubel te itaje,,,la verdura se está poniendo amarga,,,Villa Las Rosas,,SN001116
XV001839,tzh,la xch'ajubtes te poxe,,,volvió amarga la medicina,,,Guaquitepec,,SN001117
XV001840,tzh,chawajon ta baj ton,,,me acosté encima de la piedra,,,Guaquitepec,,SN001118
XV001841,tzh,ya xchahwaj sjol,,,su cabeza se pone boluda y grande,,,Petalcingo,,SN001119
XV001842,tzh,chahwajan ta huklej te ta lume,,,siéntate simplemente allí en el suelo,,,Bachajón,,SN001120
XV001843,tzh,chahwana ta wayibal me alale,,,acuesta el bebé en la cama,,,Bachajón,,SN001121
XV001844,tzh,la xchawan jilel stukel te yale,,,dejó acostado solito a su bebé,,,Tenejapa,,SN001121
XV001845,tzh,la xchahwan hilel kolem ton ta ti'nah me jPete,,,Pedro colocó una piedra grande junto a la puerta de la casa,,,Petalcingo,,SN001122
XV001846,tzh,chawana to ta lum me amats'e,,,"mientras, coloca ahí tu bola de pozol en el suelo",,,Guaquitepec,,SN001122
XV001847,tzh,yakal ta wen t'ohmel chahwuk,,,están escuchándose muchos trueno,,,Petalcingo,,SN001123
XV001848,tzh,"ya yak' ha'al, bayel ta t'ohmel xchahwukil",,,"va a llover, están tronando mucho los rayos (de la tormenta)",,,Bachajón,,SN001123
XV001849,tzh,"lom pim la yak' chawukil ja'al woje, k'ax noj te kayeetike",,,"ayer hubo una tormenta eléctrica muy fuerte, las calles se llenaron (de agua)",,,Tenejapa,,SN001124
XV001850,tzh,"xcha'ihts'in stukel me ine, ma' junuk stat sok",,,"ése es su hermanastro menor, no tienen el mismo papá",,,Bachajón,,SN001125
XV001851,tzh,ma to sna' behel te kcha'ihts'ine,,,mi hermanastro menor aún no sabe caminar,,,Petalcingo,,SN001125
XV001852,tzh,tal jcha' kijts'in,,,vino mi hermanastro menor,,se poseen los dos elementos en Amatenango,Ametenango,,SN001125
